variante,productores,consumidores,capacidad,items,producidos,consumidos,perdidos,duplicados,fantasma,corruptos,inconsistencias,entregados_ok,max_cuenta,violo_capacidad,drenados,timeouts,segundos
A,4,4,8,50000,50000,29289,30107,8762,0,634,39503,19893,8,0,2,0,0.0052232
A,4,4,8,50000,50000,31298,30736,11457,0,577,42770,19264,8,0,3,0,0.00441333
A,4,4,8,50000,50000,27521,29229,5667,0,1083,35979,20771,8,0,3,0,0.00488141
A,4,4,8,50000,50000,33462,28982,11773,0,671,41426,21018,8,0,2,0,0.0058012
A,4,4,8,50000,50000,23927,32859,5917,0,869,39645,17141,8,0,3,0,0.00467382
